1010000,0
1017001,0
1017002,5078
1017003,3777
1017004,0
1017007,0
1017008,0
1017011,2935
1017015,0
1017016,0
1017017,0
1017018,0
1017019,0
1017020,0
1017021,0
1017022,0
1017024,9397
1017025,0
1017026,11316
1017027,7908
1017028,8063
1017030,0
1017036,2922
1017037,3236
1017038,3422
1017039,4488
1017040,6966
1017041,6782
1017042,0
1017043,15719
1017044,13525
1017045,0
1017046,8698
1017050,7648
1017051,12801
1017052,0
1017053,22216
1017054,8089
1017055,10694
1017056,10057
1017057,10595
1017058,11823
1017059,7735
1017060,9036
1017061,10466
1017062,10407
1017063,7843
1017064,11377
1017065,5071
1017066,6970
1017067,10638
1017068,9155
1017069,0
1017070,9287
1017071,0
1017080,24614
1017081,7522
1017082,14899
1017083,8387
1017084,18280
1017085,10877
1017086,11982
1017087,8040
1017088,12990
1017089,10080
1017090,12540
1019133,6951
1019161,12149
1019164,4836
1019165,20814
1019169,19109
1019174,8206
1019175,6075
1019182,14717
1019185,44806
1019190,18391
1019999,3652
1470000,0
1477101,0
1477102,7183
1477103,9827
1477104,14109
1477105,10089
1477106,9346
1477107,14321
1477108,11420
1477109,11514
1479128,0
1479181,16534
1479999,659
1510000,0
1517187,14014
1517188,8963
1517189,13054
1519089,12145
1519999,53
1530000,0
1537144,8855
1537145,5471
1539084,14733
1539115,6284
1539999,158
1550000,0
1557192,10050
1557193,4156
1559999,47
1570000,0
1577110,6582
1577111,5768
1577112,7890
1577113,10823
1577114,9862
1577115,12748
1577116,7661
1577117,7455
1577118,6326
1579999,748
1590000,0
1597130,10613
1597131,9131
1597132,10474
1597133,12398
1597134,10050
1599068,4295
1599071,4282
1599072,7433
1599999,226
1610000,0
1617147,22541
1619999,0
1630000,0
1637135,5016
1637136,6434
1639074,16971
1639999,31
1650000,0
1657148,9722
1657155,9026
1659134,9083
1659999,65
1670000,0
1677141,10491
1677142,14697
1677143,11842
1677146,15934
1679999,131
1690000,0
1697152,11694
1697153,15240
1697162,4434
1697184,2628
1697196,1846
1699083,6995
1699094,7493
1699999,2
1730000,0
1737119,13584
1737120,9410
1737121,11366
1737122,6073
1737123,13090
1737124,1574
1739999,312
1750000,0
1757137,12591
1757138,8074
1757139,11376
1757140,6515
1759999,0
1830000,0
1837150,805
1837151,22016
1839999,0
1850000,0
1857190,10580
1857191,10380
1859081,8242
1859140,13610
1859999,147
1870000,0
1877149,15698
1879999,29
1900000,0
1907154,16089
1907414,20540
1909239,3761
1909999,185
2010000,0
2017425,2854
2017426,2456
2017449,3217
2017450,9986
2019155,6475
2019999,48
2100000,0
2107444,9633
2107445,1229
2107446,9828
2107452,19773
2109999,91
2170000,0
2177437,9725
2177438,4571
2177439,11231
2177440,2912
2177441,5234
2177442,5987
2177443,4633
2179098,8467
2179103,8634
2179240,996
2179999,141
2190000,0
2197401,644
2197402,2618
2197403,2865
2197404,2162
2197405,579
2197406,1526
2197415,5216
2197416,2458
2197417,8120
2197422,1355
2197429,2062
2197436,7699
2197467,7004
2199154,4613
2199241,1195
2199999,146
2230000,0
2237449,387
2237451,12430
2239080,6432
2239145,5762
2239999,29
2300000,0
2307125,8013
2307126,7087
2307127,6475
2307128,5374
2307129,5654
2307447,14551
2307448,8756
2309999,108
2400000,0
2407185,1001
2407186,10378
2407409,15041
2407410,7753
2407411,2051
2407412,1567
2407413,3556
2407427,1625
2409999,48
2500000,0
2507418,6863
2507419,5678
2507420,938
2507421,7268
2507422,46
2507423,2666
2507424,317
2507427,896
2507453,1772
2507454,4855
2507455,3493
2507456,1112
2507457,423
2507458,1284
2507459,718
2507460,741
2507461,1043
2509113,3788
2509242,1104
2509999,74
2530000,0
2537194,10963
2537195,18068
2537199,5592
2537200,2895
2539105,7358
2539108,4949
2539999,126
2590000,0
2597206,9417
2597207,4738
2597214,3846
2597215,366
2597216,3806
2597217,2052
2597218,8007
2597492,981
2597536,319
2597537,5086
2597538,278
2597539,1039
2597540,12144
2597541,1434
2599117,6588
2599999,0
2600000,0
2607397,247
2607398,0
2607399,4216
2607400,3163
2607407,4814
2607408,9595
2609186,9023
2609999,144
2650000,0
2657156,19423
2657157,8644
2657158,1348
2657159,10706
2657160,12968
2657161,608
2657166,4402
2657167,2248
2657168,791
2657169,10180
2657170,2936
2657197,2772
2657198,1402
2657210,2160
2657211,4090
2657212,435
2657213,1641
2659999,197
2690000,0
2697201,2129
2697202,4404
2697203,8974
2697204,6397
2697205,307
2699999,4
2700000,0
2707392,4629
2707393,2968
2707394,1918
2707395,3142
